danceability,energy,loudness,tempo,valence
0.733,0.859,-5.087,170.047,0.845
0.65,0.617,-9.075,89.171,0.621
0.476,0.736,-5.38,129.084,0.251
0.367,0.824,-6.763,89.946,0.253
0.417,0.163,-14.445,122.61,0.216
0.67,0.672,-11.433,130.489,0.272
0.678,0.752,-4.242,167.822,0.662
0.472,0.671,-4.649,82.952,0.0681
0.558,0.625,-5.253,171.934,0.293
0.678,0.698,-4.57,192.005,0.812
0.381,0.285,-9.147,123.469,0.327
0.63,0.758,-7.344,104.257,0.918
0.249,0.102,-17.716,71.883,0.2
0.371,0.905,-6.804,109.839,0.0397
0.445,0.436,-8.536,139.848,0.483
0.786,0.667,-8.272,102.046,0.688
0.67,0.706,-6.371,165.995,0.829
0.678,0.727,-6.534,143.003,0.453
0.498,0.99,-5.278,130.037,0.0977
0.367,0.189,-15.736,156.643,0.177
0.756,0.804,-4.101,84.953,0.849
0.707,0.904,-4.091,86.708,0.823
0.442,0.395,-4.315,138.027,0.113
0.606,0.67,-6.009,169.977,0.526
0.637,0.56,-9.319,89.51,0.732
0.829,0.788,-8.09,125.017,0.929
0.645,0.792,-7.34,90.565,0.666
0.44,0.755,-5.982,88.907,0.91
0.542,0.246,-15.471,76.237,0.72
0.897,0.761,-6.387,114.001,0.815
0.378,0.167,-10.923,176.731,0.306
0.499,0.873,-5.795,186.123,0.58
0.812,0.855,-3.725,90.04,0.573
0.837,0.569,-8.554,135.022,0.614
0.673,0.712,-7.858,113.061,0.912
0.568,0.356,-8.365,147.916,0.383
0.136,0.99,-3.845,199.951,0.0359
0.449,0.72,-5.382,138.482,0.114
0.534,0.624,-9.589,121.402,0.687
0.24,0.231,-13.889,81.013,0.0384
0.812,0.855,-3.725,90.04,0.573
0.6,0.294,-12.301,86.97,0.342
0.846,0.926,-3.036,109.157,0.886
0.743,0.441,-10.273,134.168,0.697
0.297,0.989,-3.45,105.011,0.0761
0.606,0.601,-5.576,125.961,0.453
0.241,0.369,-9.336,75.54,0.146
0.33,0.97,-4.042,82.862,0.251
0.328,0.553,-6.252,159.959,0.322
0.619,0.558,-12.15,195.004,0.514
0.711,0.33,-12.348,98.988,0.463
0.254,0.459,-7.836,128.237,0.138
0.387,0.125,-17.28,95.99,0.0698
0.402,0.983,-3.816,103.096,0.363
0.603,0.69,-6.725,133.968,0.42
0.463,0.687,-8.177,177.545,0.97
0.263,0.759,-7.288,179.904,0.429
0.807,0.606,-8.871,92.988,0.304
0.759,0.843,-3.718,105.016,0.56
0.597,0.892,-5.121,80.009,0.634
0.714,0.671,-5.119,169.727,0.641
0.65,0.282,-14.003,81.223,0.641
0.651,0.669,-7.285,138.04,0.759
0.43,0.703,-5.52,149.873,0.328
0.668,0.522,-7.42,107.979,0.718
0.73,0.403,-10.146,124.899,0.502
0.426,0.842,-6.238,157.86,0.366
0.523,0.687,-5.601,90.036,0.711
0.224,0.32,-13.896,180.049,0.0828
0.71,0.767,-8.745,89.873,0.593
0.468,0.867,-6.239,83.884,0.834
0.661,0.937,-5.157,105.549,0.805
0.404,0.0182,-20.969,109.107,0.114
0.689,0.719,-6.096,130.0,0.674
0.333,0.538,-8.653,149.377,0.63
0.661,0.576,-6.025,123.425,0.924
0.455,0.389,-9.323,174.444,0.449
0.594,0.787,-6.287,81.073,0.682
0.855,0.733,-6.693,166.033,0.348
0.643,0.905,-8.215,90.059,0.892
0.433,0.483,-9.422,68.492,0.717
0.559,0.975,-4.487,105.024,0.0762
0.44,0.838,-6.196,138.908,0.619
0.598,0.808,-5.209,128.025,0.288
0.749,0.815,-6.381,102.218,0.866
0.51,0.861,-4.658,96.497,0.507
0.609,0.539,-8.087,99.995,0.413
0.668,0.575,-6.34,134.037,0.619
0.612,0.904,-6.222,95.046,0.744
0.916,0.547,-12.566,114.914,0.973
0.568,0.907,-4.641,112.037,0.337
0.807,0.606,-8.871,92.988,0.304
0.337,0.264,-15.015,90.013,0.145
0.226,0.599,-6.847,95.328,0.0653
0.534,0.487,-11.201,112.989,0.237
0.584,0.7,-4.251,163.953,0.549
0.704,0.691,-5.414,143.982,0.427
0.286,0.35,-8.427,129.796,0.0871
0.191,0.0485,-22.198,72.375,0.0707
0.791,0.534,-13.261,127.488,0.963
0.458,0.876,-3.638,97.972,0.664
0.659,0.864,-5.427,165.848,0.901
0.109,0.854,-6.758,79.958,0.134
0.532,0.842,-6.152,126.042,0.715
0.575,0.75,-6.476,156.093,0.754
0.582,0.397,-10.582,170.031,0.531
0.586,0.556,-7.639,167.018,0.517
0.397,0.884,-7.859,135.16,0.528
0.816,0.776,-4.405,94.996,0.704
0.757,0.571,-4.547,159.933,0.538
0.683,0.975,-3.48,103.026,0.745
0.501,0.59,-14.044,145.114,0.944
0.742,0.943,-3.726,130.02,0.881
0.616,0.706,-6.846,89.995,0.655
0.475,0.957,-5.193,92.499,0.24
0.705,0.562,-3.378,163.893,0.569
0.593,0.289,-11.049,77.119,0.733
0.437,0.565,-5.596,115.389,0.306
0.634,0.775,-6.943,84.972,0.653
0.316,0.887,-9.173,135.777,0.627
0.885,0.806,-6.408,110.943,0.748
0.683,0.643,-7.425,107.027,0.771
0.705,0.637,-7.367,127.656,0.819
0.807,0.803,-4.156,91.982,0.706
0.532,0.495,-6.662,124.936,0.308
0.465,0.844,-4.352,170.358,0.155
0.819,0.645,-6.707,94.998,0.724
0.132,0.417,-8.597,80.137,0.0717
0.477,0.0489,-17.039,200.082,0.356
0.565,0.403,-12.425,109.62,0.48
0.348,0.924,-4.735,75.011,0.214
